mz,intensity
82,0.007007007
83,0.007007007
84,0.027027027
85,0.035035035
86,0.456456457
87,0.059059059
88,0.023023023
89,0.012012012
90,0.001001001
91,0.001001001
92,0.001001001
93,0.001001001
95,0.001001001
96,0.002002002
97,0.005005005
98,0.021021021
99,0.036036036
100,0.258258258
101,0.056056056
102,0.039039039
103,0.021021021
104,0.004004004
105,0.007007007
106,0.001001001
110,0.003003003
111,0.002002002
112,0.024024024
113,0.021021021
114,0.042042042
115,0.036036036
116,0.039039039
117,0.057057057
118,0.011011011
119,0.015015015
120,0.002002002
121,0.001001001
124,0.003003003
125,0.001001001
126,0.006006006
127,0.003003003
128,0.017017017
129,0.024024024
130,0.098098098
131,0.081081081
132,0.025025025
133,0.115115115
134,0.017017017
135,0.009009009
136,0.001001001
137,0.001001001
139,0.001001001
140,0.028028028
141,0.005005005
142,0.105105105
143,0.107107107
144,0.032032032
145,0.013013013
146,0.039039039
147,0.57957958
148,0.093093093
149,0.052052052
150,0.006006006
151,0.002002002
154,0.002002002
155,0.001001001
156,0.033033033
157,0.011011011
158,0.017017017
159,0.004004004
160,0.004004004
161,0.002002002
168,0.001001001
170,0.005005005
171,0.002002002
172,0.045045045
173,0.01001001
174,1
175,0.192192192
176,0.086086086
177,0.01001001
178,0.002002002
186,0.004004004
187,0.003003003
188,0.003003003
189,0.002002002
190,0.001001001
198,0.002002002
200,0.005005005
201,0.001001001
202,0.001001001
203,0.001001001
204,0.003003003
205,0.002002002
214,0.02002002
215,0.005005005
216,0.092092092
217,0.018018018
218,0.008008008
219,0.006006006
220,0.002002002
221,0.001001001
228,0.001001001
230,0.008008008
231,0.002002002
232,0.002002002
246,0.036036036
247,0.008008008
248,0.003003003
288,0.001001001
303,0.006006006
304,0.173173173
305,0.051051051
306,0.025025025
307,0.004004004
308,0.001001001
